prompt,completion
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for amitriptyline?","Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for citalopram?","Consider a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19. If citalopram or escitalopram are clinically appropriate, and adequate efficacy is not achieved at standard maintenance dosing, consider titrating to a higher maintenance dose."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Rapid Metabolizer : *1/*17

What is the drug recommendation for citalopram?","Initiate therapy with recommended starting dose. If patient does not adequately respond to recommended maintenance dosing, consider titrating to a higher maintenance dose or switching to a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Normal Metabolizer : *1/*1

What is the drug recommendation for clopidogrel?","If considering clopidogrel, use at standard dose (75 mg/day)"
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Normal Metabolizer : *1/*1

What is the drug recommendation for clopidogrel?","If considering clopidogrel, use at standard dose (75 mg/day)"
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Normal Metabolizer : *1/*1

What is the drug recommendation for clopidogrel?","If considering clopidogrel, use at standard dose (75 mg/day)"
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Intermediate Metabolizer : *1/*10

What is the drug recommendation for clopidogrel?",Avoid standard dose clopidogrel (75 mg) if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Intermediate Metabolizer : *1/*10

What is the drug recommendation for clopidogrel?",No recommendation
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Intermediate Metabolizer : *1/*10

What is the drug recommendation for clopidogrel?",Consider an alternative P2Y12 inhibitor at standard dose if clinically indicated and no contraindication.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Normal Metabolizer : *1/*1

What is the drug recommendation for escitalopram?",Initiate therapy with recommended starting dose
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Intermediate Metabolizer : *1/*10

What is the drug recommendation for escitalopram?",Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose than normal metabolizers.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for lansoprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for lansoprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for lansoprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for lansoprazole?",No recommendation
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for omeprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for omeprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for omeprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for omeprazole?",No recommendation
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for pantoprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for pantoprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for pantoprazole?","Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for pantoprazole?",No recommendation
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose than CYP2C19 normal metabolizers.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose than normal metabolizers.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2B6 normal metabolizers"
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for sertraline?",Select an alternative antidepressant not primarily metabolized by CYP2C19 or CYP2B6.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for sertraline?",Select an alternative antidepressant not primarily metabolized by CYP2C19 or CYP2B6.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for sertraline?",No recommendation
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for sertraline?",Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose.
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for sertraline?","Consider a lower starting dose, slower titration schedule and 25% reduction of standard maintenance dose as CYP2B6 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2B6."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Indeterminate : *12/*12

What is the drug recommendation for sertraline?",No recommendation
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for voriconazole?",Initiate therapy with recommended standard of care dosing
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Intermediate Metabolizer : *1/*2

What is the drug recommendation for voriconazole?",Initiate therapy with recommended standard of care dosing
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for voriconazole?","Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include liposomal amphotericin B and posaconazole. In the event that voriconazole is considered to be the most appropriate agent, based on clinical advice, for a patient with poor metabolizer genotype, voriconazole should be administered at a preferably lower than standard dosage with careful therapeutic drug monitoring."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Likely Poor Metabolizer : *10/*22

What is the drug recommendation for voriconazole?","Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole. In the event that voriconazole is considered to be the most appropriate agent, based on clinical advice, for a patient with poor metabolizer genotype, voriconazole should be administered at a preferably lower than standard dosage with careful therapeutic drug monitoring."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for voriconazole?","Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include liposomal amphotericin B and posaconazole. In the event that voriconazole is considered to be the most appropriate agent, based on clinical advice, for a patient with poor metabolizer genotype, voriconazole should be administered at a preferably lower than standard dosage with careful therapeutic drug monitoring."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Poor Metabolizer : *2/*2

What is the drug recommendation for voriconazole?","Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole. In the event that voriconazole is considered to be the most appropriate agent, based on clinical advice, for a patient with poor metabolizer genotype, voriconazole should be administered at a preferably lower than standard dosage with careful therapeutic drug monitoring."
